ID,Education Level,How often do you use AI tools?,What do you primarily use AI tools for?,Do you feel more productive when using AI tools?,Do you believe overuse of AI can negatively affect mental health or problem-solving skills?,Do you know someone that use AI as  conversational partner?,I feel more confident in solving problems on my own without AI assistance.,Using AI makes me feel mentally lazy.,Relying on AI helps reduce my stress.,AI tools make me second-guess my own knowledge or decisions.,Its recomendable for people to use AI as conversational partner
45,Bachelor’s Degree,Rarely,"['Studying or learning', ' Creative writing or art']",No,No,No,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree
46,Bachelor’s Degree,Daily,"['Studying or learning', ' Work/professional tasks', ' Entertainment']",Yes,Yes,No,Neutral,Disagree,Agree,Disagree,Strongly Disagree
47,High School,Never,"[""Don't use""]",No,No,Yes,Neutral,Neutral,Neutral,Neutral,Neutral
48,Bachelor’s Degree,Daily,"['Studying or learning', ' Work/professional tasks', ' Entertainment', ' Others']",Yes,No,No,Neutral,Neutral,Agree,Neutral,Neutral
49,Master’s Degree,Rarely,['Others'],Yes,Yes,No,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree
50,Bachelor’s Degree,Several times a week,"['Work/professional tasks', ' Others']",Yes,No,No,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree
51,Bachelor’s Degree,Several times a week,"['Studying or learning', ' Work/professional tasks', ' Entertainment']",Yes,Yes,Yes,Agree,Disagree,Agree,Disagree,Disagree
52,High School,Several times a week,['Entertainment'],No,No,No,Agree,Disagree,Neutral,Neutral,Disagree
53,Other,Never,"[""Don't use""]",No,Yes,No,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree
54,Other,Rarely,"['Work/professional tasks', ' Others']",No,Yes,No,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral
55,Bachelor’s Degree,Never,"[""Don't use""]",No,Yes,No,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree
56,Bachelor’s Degree,Several times a week,"['Studying or learning', ' Creative writing or art', ' Entertainment']",No,Yes,Yes,Agree,Neutral,Neutral,Neutral,Strongly Disagree
57,Master’s Degree,Several times a week,['Work/professional tasks'],No,Yes,Yes,Strongly Agree,Neutral,Neutral,Agree,Strongly Disagree
58,Bachelor’s Degree,Several times a week,"['Work/professional tasks', ' Entertainment']",Yes,No,Yes,Neutral,Disagree,Agree,Disagree,Agree
59,Other,Several times a week,"['Entertainment', ' Others']",Yes,No,Yes,Neutral,Neutral,Agree,Neutral,Agree
